issue_id,issue_number,issue_title,issue_body,comment_id,comment_body
2680214929,4348,Unable to migrate from v2.6 to v2.7,"### Issue Summary

I use self-hosted version. Currently on v.2.6.0. When I run the database migration command (migration to v2.7) it fails with an error and Formbricks v2.7.0 can't launch.

I'm using `pgvector/pgvector:pg15` image.

When I run migration command for v2.6 (my current version) it's OK, says `Data migration completed`

### Expected Behavior

Migration should be successful

### Other information (incl. screenshots, Formbricks version, steps to reproduce,...)

Error from `formbricks-migration` container
```
 > @formbricks/database@0.1.0 data-migration:v2.7 /app/packages/database
 > pnpm data-migration:add-teams


 > @formbricks/database@0.1.0 data-migration:add-teams /app/packages/database
 > ts-node ./data-migrations/20241107161932_add_teams/data-migration.ts

 Starting data migration...
 An error occurred during migration: PrismaClientKnownRequestError:
 Invalid `transactionPrisma.invite.findMany()` invocation in
 /app/packages/database/data-migrations/20241107161932_add_teams/data-migration.ts:26:55

   23 await prisma.$transaction(
   24   async (transactionPrisma) => {
   25     // Fetch all invites and group them by organizationId
 → 26     const invites = (await transactionPrisma.invite.findMany(
 The column `Invite.deprecatedRole` does not exist in the current database.
     at Mn.handleRequestError (/app/node_modules/@prisma/client/runtime/library.js:121:7753)
     at Mn.handleAndLogRequestError (/app/node_modules/@prisma/client/runtime/library.js:121:7061)
     at Mn.request (/app/node_modules/@prisma/client/runtime/library.js:121:6745)
     at async l (/app/node_modules/@prisma/client/runtime/library.js:130:9633)
     at async prisma.$transaction.timeout (/app/packages/database/data-migrations/20241107161932_add_teams/data-migration.ts:26:24)
     at async Proxy._transactionWithCallback (/app/node_modules/@prisma/client/runtime/library.js:130:8000)
     at async runMigration (/app/packages/database/data-migrations/20241107161932_add_teams/data-migration.ts:23:3) {
   code: 'P2022',
   clientVersion: '5.20.0',
   meta: { modelName: 'Invite', column: 'Invite.deprecatedRole' }
 }
  ELIFECYCLE  Command failed with exit code 1.
  ELIFECYCLE  Command failed with exit code 1.
```

### Your Environment

Self-hosted Formbricks",,
2663566473,4326,Enable custom scopes for OIDC,"### Is your feature request related to a problem? Please describe.

I'm trying to integrate Discord as a oauth2 / oidc provider and well, Discord aren't supporting the ""profile"" scope in their authentication. Using the current setup discord will redirect to a page with this :

```json
{""scope"": [""2""]}
```


### Describe the solution you'd like

This leads me to this line where the OIDC scopes are hardcoded.

https://github.com/formbricks/formbricks/blob/main/packages/lib/authOptions.ts#L207

Removing the ""profile"" from the url called by Formbricks gets me a little further, after accepting the Discord's oauth I get a `AccessDenied`.

While at it, it would be useful not to be dependent on a service with "".well-known/openid-configuration"" link since the provider _might_ not provide or is missing fields.

### Additional context

list of scopes from the discord oauth2 website

![Image](https://github.com/user-attachments/assets/cbfb45da-262c-40f8-a4dd-111ad6b4930e)
",,
2661917324,4324,Letters outside a-z not allowed in name,"### Issue Summary

Names with e.g. Norwegian letters `æøå` letters is not allowed, as set up in [Zod schema](https://github.com/formbricks/formbricks/blob/762a3ca6264600309786ea285a5eeef22ef1483b/packages/types/user.ts#L29) with regex `/^[a-zA-Z0-9\s]+$/`. This would apply to all letters with accents etc. as well.

Is this intentional?

### Expected Behavior

I would assume all ""normal"" letters that you can find in names should be allowed?

### Other information (incl. screenshots, Formbricks version, steps to reproduce,...)

Names are fetched from Microsoft Entra/Azure AD. Discovered when coworker with `æ` in name could not log in.

Docker logs:
```js
[
	{
		validation: 'regex',
		code: 'invalid_string',
		message: 'Name should only contain letters, numbers, and spaces',
		path: ['name']
	}
];
```

### Your Environment

Self-hosted Formbricks",,
2661684515,4321,Move UI package to module,"We will also move the UI package into the main app module structure to have all the app logic in one place.

For this please:
- Move the components & lib folders of `packages/ui` to `apps/web/modules/ui`
- Replace the existing `tailwind.config.js` in `/apps/web/tailwind.config.js` with the tailwind-config from the ui package
- Rename the directories and files to kebab-case to conform with the Vercel code style guide
- Make sure storybook accesses the ui components in `apps/web/modules/ui`
- Remove the `packages/ui` package",,
2660879759,4315,Auth-module Revamp,"Technical improvements to the auth module, moving API endpoints to server actions, code rewrite and optimizations with move to new `modules` folder and splitting auth features into community and enterprise features.

Full Ticket: https://www.notion.so/formbricks/Auth-module-Revamp-13ee5de84a588049abdac744aae90c73?pvs=4",,
2660767621,4313,Remove Experience page (for now),"From our initial user testing, we've found that the experience page doesn't yet provide enough value to users, as they can't dig deep enough into their insights, and when they only have surveys that don't generate insights, it's a confusing page for them.
We will try again and come up with an updated concept that takes all this feedback into account.

But first, to solve the current confusion, please remove the experience page from the navigation and app router. We can keep the code in the insights module as we may need it later.",,
2658240337,4307,Move ee services to new module structure,"The EE service ( `packages/ee/lib/service.ts` ) is the last remaining code in the `ee` package.

- Please move the code to `modules/ee/license` and follow the general folder structure moving the service to `modules/ee/license/lib/utils.ts` and the types to `modules/ee/license/types/enterprise-license.ts`
- Move the license file to `modules/ee/LICENSE`
- Modify `LICENSE` file in the root directory to match the new path of the LICENSE file and remove the `packages/ee` directory reference as well as the `apps/web/app/(ee)` reference.
- Remove the `packages/ee` directory",,
2657813333,4305,Move billing to new module structure,"The new module structure uses the app router only as an router but stores all the files in the `modules` directory.

Please create a new module `modules/ee/billing` for all billing related pages, components and APIs. The goal is that all code related to the billing feature is grouped in this folder to also make sure that the enterprise license is used for all billing-related code.

For pages, the page.tsx in the app router only reference the corresponding page.tsx file in the billing module (see `apps/web/app/(app)/environments/[environmentId]/product/teams/page.tsx` for an example).

For the api follow the same approach where you create an api folder within the billing module at `modules/ee/billing/api`.

All components and lib files that are currently colocated in the router should also be moved to the modules directory.",,
2654438242,4298,Show response time for individual responses,"### Is your feature request related to a problem? Please describe.

<img width=""680"" alt=""Screenshot 2024-11-13 at 07 54 06"" src=""https://github.com/user-attachments/assets/7e4794d9-f58c-4ceb-b321-eed3ed2e7512"">


### Describe the solution you'd like

Display the response time in the response table as well as SingleResponseCard and CSV export.

### Additional context

_No response_",,
2653453886,4294,The column `Invite.deprecatedRole` does not exist in DB,"### Issue Summary

When I try to [migrate](https://formbricks.com/docs/self-hosting/migration-guide) in order to use the last version of Formbricks, I see this error:

```
  23 await prisma.$transaction(
  24   async (transactionPrisma) => {
  25     // Fetch all invites and group them by organizationId
→ 26     const invites = (await transactionPrisma.invite.findMany(
The column `Invite.deprecatedRole` does not exist in the current database.
    at Mn.handleRequestError (/app/node_modules/@prisma/client/runtime/library.js:121:7753)
    at Mn.handleAndLogRequestError (/app/node_modules/@prisma/client/runtime/library.js:121:7061)
    at Mn.request (/app/node_modules/@prisma/client/runtime/library.js:121:6745)
    at async l (/app/node_modules/@prisma/client/runtime/library.js:130:9633)
    at async prisma.$transaction.timeout (/app/packages/database/data-migrations/20241107161932_add_teams/data-migration.ts:26:24)
    at async Proxy._transactionWithCallback (/app/node_modules/@prisma/client/runtime/library.js:130:8000)
    at async runMigration (/app/packages/database/data-migrations/XXXXXXXXX_add_teams/data-migration.ts:23:3) {
  code: 'P2022',
  clientVersion: '5.20.0',
  meta: { modelName: 'Invite', column: 'Invite.deprecatedRole' }
}
```

### Expected Behavior

Fix the database and/or skip the validation because I'm not using invites.

### Other information (incl. screenshots, Formbricks version, steps to reproduce,...)

_No response_

### Your Environment

Self-hosted Formbricks",,
