issue_id,issue_number,issue_title,issue_body,comment_id,comment_body
2673254420,7071,🐛 Bug Report: ExpressJS Quickstart = Directory Import error on Nodejs v20 and Deno v2,"### 📜 Description

I have an expressjs NodeJS (v20) project with type: module and got import errors following the quickstart guide for express.

https://docs.novu.co/quickstart/express

We are hoping to move to Deno v2 (TypeScript) soon, so I ran the project in Deno + TypeScript and got error:

`error: [ERR_UNSUPPORTED_DIR_IMPORT] Directory import 'file:///<user>/backend/node_modules/.deno/@novu+shared@2.1.2/node_modules/@novu/shared/dist/esm/config' is not supported resolving ES modules imported from 'file:///<user>/backend/node_modules/.deno/@novu+shared@2.1.2/node_modules/@novu/shared/dist/esm/index.js'`

### 👟 Reproduction steps

Run expressjs in Node.js v20 and set `""type"": ""module"",`.

OR

Setup expressjs in Deno V2 using TypeScript

Quickstart guide for express and has export error in both.

### 👍 Expected behavior

No export error.

### 👎 Actual Behavior with Screenshots

Terminal error is pasted above:

### Novu version

Novu SaaS

@novu/framework@2.5.1

EDIT:

This error does not occur on @novu/framework@2.3.0

### npm version

NA

### node version

v20.18.0

### 📃 Provide any additional context for the Bug.

_No response_

### 👀 Have you spent some time to check if this bug has been raised before?

- [X] I checked and didn't find a similar issue

### 🏢 Have you read the Contributing Guidelines?

- [X] I have read the [Contributing Guidelines](https://github.com/novuhq/novu/blob/main/CONTRIBUTING.md)

### Are you willing to submit PR?

None",,
2658312617,6994,🐛 Bug Report: Incompatibility between nest-swagger-ui and @novu/framework,"### 📜 Description

When the swagger explorer tries to check the controller of the nest integration and their metadata, it failes with the following error:
![image](https://github.com/user-attachments/assets/70b8a13a-aff3-4c19-ae87-7cad2e8ea431)


### 👟 Reproduction steps

NestJs Repository with additional dependency: @nestjs/swagger & swagger-ui-express

I guess the origin of this error is maybe, that decorator data is not exported at build process. (but I am not sure to be honest)

### 👍 Expected behavior

Should be able to fetch metadata from the classes and reuse them.

### 👎 Actual Behavior with Screenshots

![image](https://github.com/user-attachments/assets/047d5948-8db9-4e6b-a602-ee5265cd76b4)

### Novu version

@novu/framework@2.5.0

### npm version

7

### node version

18

### 📃 Provide any additional context for the Bug.

Potential fix:
https://stackoverflow.com/questions/58596139/nestjs-swagger-issue

Use emitDecoratorMetadata in tsconfig.json

### 👀 Have you spent some time to check if this bug has been raised before?

- [X] I checked and didn't find a similar issue

### 🏢 Have you read the Contributing Guidelines?

- [X] I have read the [Contributing Guidelines](https://github.com/novuhq/novu/blob/main/CONTRIBUTING.md)

### Are you willing to submit PR?

None",,
2654974353,6982,🐛 Bug Report: Node <=18 - `Unknown BridgeError: crypto is not defined`,"### 📜 Description

When using Node 18 that doesn't contain the global `crypto` WebCrypto API, Framework 2.4.0 fails to be invoked with `strictAuthentication: true` during the HMAC validation.

```bash
[Error]: Unknown BridgeError: crypto is not defined
    at bt.handleError (/app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:95:6281)
    at bt.handleAction (/app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:95:4889)
    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
    at async /app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:95:3618 {
  data: {
    stack: 'ReferenceError: crypto is not defined\n' +
      '    at Or (/app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:1:11777)\n' +
      '    at bt.validateHmac (/app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:95:6587)\n' +
      '    at bt.handleAction (/app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:95:4619)\n' +
      '    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n' +
      '    at async /app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:95:3618'
  },
  statusCode: 500,
  code: 'BridgeError'
}
```

### 👟 Reproduction steps

1. Install `@novu/framework`@2.4.0, serve a workflow with a Node 18 or less runtime.
2. Attempt to sync the Workflow with `strictAuthentication: true`

### 👍 Expected behavior

Sync should be successfull

### 👎 Actual Behavior with Screenshots

Sync fails with error:

```bash
[Error]: Unknown BridgeError: crypto is not defined
    at bt.handleError (/app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:95:6281)
    at bt.handleAction (/app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:95:4889)
    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
    at async /app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:95:3618 {
  data: {
    stack: 'ReferenceError: crypto is not defined\n' +
      '    at Or (/app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:1:11777)\n' +
      '    at bt.validateHmac (/app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:95:6587)\n' +
      '    at bt.handleAction (/app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:95:4619)\n' +
      '    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n' +
      '    at async /app/node_modules/@novu/framework/dist/cjs/servers/express.cjs:95:3618'
  },
  statusCode: 500,
  code: 'BridgeError'
}
```

### Novu version

Novu SaaS

### npm version

_No response_

### node version

18

### 📃 Provide any additional context for the Bug.

A polyfill for global `crypto` should be added in Node environments with version 18 or less.

### 👀 Have you spent some time to check if this bug has been raised before?

- [X] I checked and didn't find a similar issue

### 🏢 Have you read the Contributing Guidelines?

- [X] I have read the [Contributing Guidelines](https://github.com/novuhq/novu/blob/main/CONTRIBUTING.md)

### Are you willing to submit PR?

None",,
2651981917,6954,🐛 Bug Report: @novu/framework: 2.4.0 Breaking imports,"### 📜 Description

version 2.4.0 no longer exports the type Workflow, causing imports to break in typescript

### 👟 Reproduction steps

install latest @novu/framework
Try importinng the Workflow type

### 👍 Expected behavior

Type should be exported and should be accessible in client code, where type inference may not be straight forward, for example in a custom monorepo

### 👎 Actual Behavior with Screenshots

![image](https://github.com/user-attachments/assets/614d4cd1-5934-4908-947d-43f72fffcd1b)


### Novu version

Novu SaaS

### npm version

9.5.1

### node version

18.16.0

### 📃 Provide any additional context for the Bug.

_No response_

### 👀 Have you spent some time to check if this bug has been raised before?

- [X] I checked and didn't find a similar issue

### 🏢 Have you read the Contributing Guidelines?

- [X] I have read the [Contributing Guidelines](https://github.com/novuhq/novu/blob/main/CONTRIBUTING.md)

### Are you willing to submit PR?

None",,
2648357872,6916,🚀 Feature: Use OAuth 2.0 for outlook 365 email integration,"### 🔖 Feature description

Currently Novu uses basic auth for outlook 365 based on [nodemailer](https://github.com/novuhq/novu/blob/next/packages/providers/src/lib/email/outlook365/outlook365.provider.ts#L33).

### 🎤 Why is this feature needed ?

Microsoft will drop the support of basic auth in September 2025

![image](https://github.com/user-attachments/assets/c25820e2-2af4-4167-9908-19adda818516)


### ✌️ How do you aim to achieve this?

By adding support of Oauth 2.0 and option to select this in integration store form

### 🔄️ Additional Information

_No response_

### 👀 Have you spent some time to check if this feature request has been raised before?

- [X] I checked and didn't find similar issue

### 🏢 Have you read the Code of Conduct?

- [X] I have read the [Contributing Guidelines](https://github.com/novuhq/novu/blob/main/CONTRIBUTING.md)

### Are you willing to submit PR?

None",,
2640240729,6881,🐛 Bug Report: Next 15 fails to build with Novu serve(),"### 📜 Description

Trying to build for production

### 👟 Reproduction steps

1. Install Novu with a Next 15 app as described in the Novu setup guide
2. Create the route handler using Novu's serve() function as explained in the docs
3. Try building your app

### 👍 Expected behavior

Build successfully

### 👎 Actual Behavior with Screenshots

Fails to compile
![CleanShot 2024-11-07 at 03 20 22](https://github.com/user-attachments/assets/24438420-da0e-4691-9ad1-37ebfb77543f)


### Novu version

Novu SaaS

### npm version

_No response_

### node version

_No response_

### 📃 Provide any additional context for the Bug.

After NextJS 15 the typing changed for Route Handlers. The second argument is now of type ""RouteContext"", which causes this error.

Inngest, another open source project with very similar structure to Novu, has resolved the issue for their product. The relevant source code from Inngest (and how they fixed the issue) can be found here: https://github.com/inngest/inngest-js/blob/main/packages/inngest/src/next.ts

Using their source I was able to create a custom Novu serve() function and get this working, but it would be nice to have this out-of-the-box with Novu.


### 👀 Have you spent some time to check if this bug has been raised before?

- [X] I checked and didn't find a similar issue

### 🏢 Have you read the Contributing Guidelines?

- [X] I have read the [Contributing Guidelines](https://github.com/novuhq/novu/blob/main/CONTRIBUTING.md)

### Are you willing to submit PR?

None",,
2631575166,6834,🐛 Bug Report: email step in queued when generating email attachment for 6 seconds,"### 📜 Description

using sendgrid provider to send email with attachments, when rendering a large attachment for around 6 seconds, the email can't be sent and stuck.

### 👟 Reproduction steps

In sendgrid provider, when rending a large attachment, the time spent for rendering is around 6 seconds; Novu can't send the email and stuck in email step.

```
export const myWorkflow = workflow(
 'WorkflowName', 
  async ({ step, payload, subscriber }) => {
    await step.email(
      'send-email',
      async () => {
        const content = ListingOrderQcAcceptedEmailSeller(
          payload.emailData.content,
        );

        return {
          subject: payload.emailData.subject,
          body: render(content),
        };
      },
      {
        providers: {
          sendgrid: async () => {
          
            console.time('process');
            const pdfContent = await convertHtml2Pdf(
              render(
                TaxInvoiceProducePlusFreight(
                  payload.emailData.attachmentList[0].content,
                ),
              ),
            );
            console.timeLog('process');
            console.timeEnd('process');
            const attachments = [];
            attachments.push(
              getAttachment({
                fileName: payload.emailData.attachmentList[0].fileName,
                content: pdfContent,
              }),
            );

            // @ts-ignore
            return {
              attachments,
            };
          },
        },
      },
    ),
  },
  {
    payloadSchema,
  },
);
```

### 👍 Expected behavior

It should send email with attachment.

### 👎 Actual Behavior with Screenshots

stuck in email sending.
![Screenshot 2024-11-04 at 11 01 38 AM](https://github.com/user-attachments/assets/369ec0cb-0ad3-48e4-b3f5-3670e946b738)


### Novu version

Novu SAAS

### npm version

_No response_

### node version

_No response_

### 📃 Provide any additional context for the Bug.

it actually did not send the email with attachments.

### 👀 Have you spent some time to check if this bug has been raised before?

- [X] I checked and didn't find a similar issue

### 🏢 Have you read the Contributing Guidelines?

- [X] I have read the [Contributing Guidelines](https://github.com/novuhq/novu/blob/main/CONTRIBUTING.md)

### Are you willing to submit PR?

None",,
2628665969,6822,🚀 Feature: Customized Preference System exposed to bridge,"### 🔖 Feature description

With the new version v2 and the introduced bridge processing, novu could also introduce a custom preference system, where devs can define schemas for the preferences like the existing control/payload schema, which are then exposed to the customer and to the workflows as well.

### 🎤 Why is this feature needed ?

Several different requests like customized digest for workflows are already requested and I think with this system, the chance to support more of them out of the box is even higher. 
When used with topics (#6789) the dev can define relations between topics and workflows much more specific

Use Cases I could think of:
- Customized digest
- Customized E-Mail behavior, f.ex. setting if email should include personal data or should be anonymized
- Define for each topic (f.ex. asset or post) which workflow (by preference system), should be used (like github customized notifications for each repo)

### ✌️ How do you aim to achieve this?

1. Define Preference Schema at workflows / maybe also on topics (#6789)
2. pass them as variables to the workflow

### 🔄️ Additional Information

Example:
```
workflow(""xxx"", async ({ step, subscriber, preferences, topic }) => {
  const { name: topicName, control: topicControl, preferences: topicPreferences } = topic ?? {};;
  await step.digest(""custom-digest"", () => ({ unit: (topicPreferences?.interval ?? preferences.interval) === 'daily' ? 'day' : 'week', amount: 1 })
}, {
   preferenceSchema: z.object({
      interval: z.enum([""daily"", ""weekly""]).default(""daily""),
   })
})
```

### 👀 Have you spent some time to check if this feature request has been raised before?

- [X] I checked and didn't find similar issue

### 🏢 Have you read the Code of Conduct?

- [X] I have read the [Contributing Guidelines](https://github.com/novuhq/novu/blob/main/CONTRIBUTING.md)

### Are you willing to submit PR?

Yes I am willing to submit a PR!",,
2620388939,6789,🚀 Feature: Topic Processors,"### 🔖 Feature description

Novu topics could be extended with several new functionality to improve the targeted delivery audience by integrating custom processors into the @novu/framework package over the bridgeUrl with the user provided backend.
Some of the provided concept-ideas may also be aplicable to introduce in the ui as well.

### 🎤 Why is this feature needed ?

Novu topics are by desing currently not secured, not strictly tied to a product database and sycing topics in advance is a huge task exspecialy for larger and existing systems, therefore this integration would help to fetch/validate data at runtime and only when its required. 
With such integration, users can also be more confident to use those topics, exspecialy for privacy related content and ensure the targeted users are the wanted ones.
This would also reduce complexity when using a microservice architecture. when querying subscribers beforehand.

### ✌️ How do you aim to achieve this?

I will explain some concepts, which may or may not make sense :)

Integrate the user provided backend with processors like when using workflows. Several different processors, which can be tied to a topic name.

*Processing Types:*
- *beforeTrigger*: this could be used to determine if additional users should be added to the topic
- *validateSubscribers*: this could be used to validate if the subscriber is still valid or if he/she has to be removed from the topic, could also be used to execute it in batch, if the subscribers are very many, when a subscriber is registering themselfs to the topic, this can be used as a validator
- *onAddSubscriber*: could be used to do additional things, after a subscriber is added
- *onRemoveSubscriber*: could be used to do additional things, after a subscriber is removed

*Topic Variables*: Defining a controll/payload schema could help to pass some some additional properties to the processors. f.ex. to determine which subscribers to fetch. As an alternative to variables the processors coul use wildcards. But for type saftly, i would suggest using a schema here.

*Timeouts/TTL*: Each Data returned by a processor should have a ttl, so in a production use-case the amount of executions is also limited/reduced.

*Invalidation*: With this aproach, existing processor data could be manualy invalidated to enforce a new run for the topic, when triggered next time. F.ex. someone is leaving an organization => invalidate all related topics.

*Subscription Status*: to overwrite some of the processors and remove the need to save additional data in the user-provided backend, subscriptions could have 3 status: 1. subscribed, 2. unsubscribed, 3. unknown => this would enable users to unsubscibe, even when the topicProcessor provides them => users could keep their custom preferences

*Preferences & Self-Service*: as mentioned within #6822 users can be enabled to define preferences and the validator function above can be used to determine, if they can self-register with the topic. This would enable frontend to register users to notifications, even if the topic has not been triggered/setup before.

*Example:*
```
topic(
    'organization',
{
   async beforeTrigger ({ payload, control }) => {
      // custom processors
      // return an object of subscribers
      return { subscribers: [] }
   },
   async validateSubscribers ({ payload, control, subscribers, isBatch }) => {
      // custom processors
      return { invalidSubscriberIds: [] };
   },
   async onAddSubscribers({ payload, control, subscribers, isBatch }) => {
      // custom processors
   },
   async onRemoveSubscribers({ payload, control, subscribers, isBatch }) => {
      // custom processors
   },
},
{
   payloadSchema: z.object({
      organizationId: z.string(),
      role: z.enum(['DEFAULT', 'ADMIN']).default('DEFAULT'),
   }),
   controlSchema: z.object({
      fetchType: z.enum([""DEFAULT"",""CUSTOM""]).default([""DEFAULT""]),
   }),
   ttl: 6 * 60 * 60 * 1000,
});
```

### 🔄️ Additional Information

As discussed before via email, with @jainpawan21 this topic may already be on your timeline. I wanted to take the oportunity to share some of our current thoughts on this one, so maybe some others could share their opionions as well. 


I would love to participate on discussions and maybe contribute at some points.

Thanks for your work and always for the support :)

### 👀 Have you spent some time to check if this feature request has been raised before?

- [X] I checked and didn't find similar issue

### 🏢 Have you read the Code of Conduct?

- [X] I have read the [Contributing Guidelines](https://github.com/novuhq/novu/blob/main/CONTRIBUTING.md)

### Are you willing to submit PR?

Yes I am willing to submit a PR!",,
2615621300,6777,🐛 Bug Report: @novu/frameworks throws no reasonable error when having invalid configuration,"### 📜 Description

We had an error, which was releated, to an invalid configuration of our env variables: NOVU_API_URL and NOVU_SECRET_KEY.
We had used the @novu/node lib before and therefore had env in place which met the naming from this lib. (NOVU_BACKEND_URL/NOVU_API_KEY)

This resulted in a misconfiguration (our fault, we could have been reading better :) ) with a strange/wrong debugging experience.
We had to take a deep dive why the following error was present and we were not able to pin down the exact origin for a few hours.

### 👟 Reproduction steps

1. Deploy self-hosted version
2. Deploy bridge server without proper env configuration

### 👍 Expected behavior

The system tried to reach the cloud url of novu instead of the self-hosted on, which is correct, but the error should represent, that the endpoint could not be reached with this configuration. like a 401 error or similar. The errors in the console of @novu/framework should also be more detailed.

Other suggestions: 
- we would also suggest to use a similar naming across libs for the same thing :)
- manualy configurable keys, without need to just use the env vars.

### 👎 Actual Behavior with Screenshots
The error present at the ui was:
Workflow with id: order-recieved has an invalid state. Step with id: in-app has invalid result. Please provide the correct step result.
![Unbekannt](https://github.com/user-attachments/assets/d7656893-907d-4bb1-aa36-0b831c4c3e2c)
The console just shows, that the step could not be hydrated.
![image](https://github.com/user-attachments/assets/dbafd520-ca63-4bb0-a771-776fd9bf9e2b)
The ui shows this weird error. We think this is due to the fact, that the step before could not be handled because of the misconfiguration.
![Unbekannt](https://github.com/user-attachments/assets/eb8a2980-8850-4db7-bd2a-beab874d6637)

### Novu version

Self Hosted

### npm version

k.A.

### node version

20

### 📃 Provide any additional context for the Bug.

selfhosted@2.0.0
@novu/framework@2.3.0 also tested on @novu/framework@2.0.0

### 👀 Have you spent some time to check if this bug has been raised before?

- [X] I checked and didn't find a similar issue

### 🏢 Have you read the Contributing Guidelines?

- [X] I have read the [Contributing Guidelines](https://github.com/novuhq/novu/blob/main/CONTRIBUTING.md)

### Are you willing to submit PR?

None


### Our workflow
```
workflow(
        'order-recieved',
        async ({ step, payload, subscriber }) => {
            await step.inApp('in-app', async () => {
                return {
                    subject: tolgee.t('inApp.orderRecieved.subject', {
                        internal_number: payload.order?.internal_number,
                        language: subscriber?.locale,
                    }),
                    body: tolgee.t('inApp.orderRecieved.body', {
                        internal_number: payload.order?.internal_number,
                        language: subscriber?.locale,
                    }),
                }
            });

            await step.push('send-push', async () => {
                return {
                    subject: tolgee.t('push.orderRecieved.subject', {
                        internal_number: payload.order?.internal_number,
                        language: subscriber?.locale,
                    }),
                    body: tolgee.t('push.orderRecieved.body', {
                        internal_number: payload.order?.internal_number,
                        language: subscriber?.locale,
                    }),
                }
            });

            await step.email('send-email', async () => {
                // TODO: support other order types
                if (payload.order.type !== 'SHOP_PURCHASE_ORDER')
                    throw new Error(`processing of incorrect order type could not be performed. ${payload.order.type}`)

                // the eshop should only support those 3 languages
                const language = ['de', 'en', 'fr'].includes(subscriber?.locale || '') ? subscriber?.locale : 'en';
                await ConfigUtil.init();
                const subject = '...';
                const body = '...';
                return {
                    subject: subject,
                    body: body,
                };
            });
        })
```",,
