issue_id,issue_number,issue_title,issue_body,comment_id,comment_body
2671814233,3860,RFC/Feature Request: Add a type-safe convert/input output mapper method for compile time input validation,"**RFC/Feature Request**: Add a type-safe `convert`/`input output mapper` method for compile time input validation

**Summary**

Introduce a new method, ie. `convert`, for Zod schemas that provides type-safe input validation and transformation. This method would enforce that the provided input matches the schema’s defined input type (`T[""_input""]`) at compile time, ensuring a stricter contract compared to `parse`.

**Motivation**

Zod’s `parse` and `safeParse` methods currently accept `unknown` as input. While this is intentional for unstructured or untrusted data validation, there are common use cases where input data is already structured (e.g., from a typed API response, database query, or other controlled sources). For such cases, allowing type-safe input validation without relying on runtime type checking enhances both safety and developer experience.

The proposed method aligns with Zod’s TypeScript-first philosophy by:

1. Enforcing input types at compile time, reducing reliance on runtime checks.
2. Providing a clear distinction between structured and unstructured input handling.
3. Supporting scenarios where transformations (via `.transform()`) are applied, while maintaining type safety.

**Proposed API**

Add a method `convert` to Zod schemas with the following behavior:

```typescript
schema.convert(input: T[""_input""]): T[""_output""];
```

- **Input Type (`T[""_input""]`)**: Enforces that the input matches the schema's input type at compile time.
- **Output Type (`T[""_output""]`)**: Returns the validated and transformed data, adhering to the schema's transformation logic.

  **Example Usage**

https://github.com/colinhacks/zod/blob/dad88200ec45b673d33eae442dff40d805d8add9/src/__tests__/convert.test-d.ts#L21-L59

**Comparison with Existing Methods**

1. **`parse`**:

   - Accepts `unknown` input and validates it.
   - Use case: General-purpose validation of unstructured data.

2. **`convert`** (Proposed):
   - Enforces that the input matches the schema’s input type at compile time.
   - Use case:
     - Validating already-structured data with guaranteed input types, while benefiting from transformations and Zod’s validation.
     - Using zod as typesafe converter ie. between well defined input and output types.

**Potential Concerns**

- **Confusion with Existing Methods**:
  - I am uncertain about how to name the method in order to clearly differentiate itself from `parse`, `safeParse`, `transform`,... to avoid ambiguity. Suggested name: `convert`, `inputToOutput`, `parseConvert`?

**Example implementation**

https://github.com/colinhacks/zod/pull/3861

https://github.com/colinhacks/zod/blob/dad88200ec45b673d33eae442dff40d805d8add9/src/types.ts#L521-L541",,
2669276740,3858,Export enumUtil types,"Similar to `z.objectUtil` and `z.util`, It'd be great if we had access to the types defined by the `enumUtil` namespace.

Is it possible to export these types? Thanks a ton.",,
2668454170,3856,Error Handling: differentiating .errors and .issues on ZodError,"Whenever working with zod errors/issues I find out that `issues` and `errors` have exactly the same content, like below:

<img width=""581"" alt=""image"" src=""https://github.com/user-attachments/assets/45baf9ea-1fcb-4316-b1bc-35f755f04cc4"">

sample code below:

```ts
try {
Schema.parse(something);
} catch (e) {
  if (e instanceof z.ZodError) {
    for (const zodIssue of e.issues) { // A
    for (const zodIssue of e.errors) { // B
      console.error(zodIssue.code);
      console.error(zodIssue.message);
      console.error(zodIssue.path);
    }
  }
}
```

and inside internal TS zod types, both properties relate to the same `ZodIssue` type:

```ts
export declare class ZodError<T = any> extends Error {
    issues: ZodIssue[];
    get errors(): ZodIssue[];
```

My question is: what's the difference between them? Why are they separate? I see docs relate to issues (and methods such as `addIssue`/`addIssues` exist). **What's the point of `errors` anyway?**

I've read [error handling](https://github.com/colinhacks/zod/blob/main/ERROR_HANDLING.md) but it doesn't answer this question.

",,
2667797030,3855,Unexpected 'optional' in input type when using generic function,"I've been trying to write a generic function to generate schemas for a corresponding generic interface but keep getting errors related to some fields supposedly being optional when validating the types. I have no optionals anywhere.

## Steps to reproduce
Execute the following code:
```ts
import z from 'zod';

export interface PathParameter<T> {
  pathParameter: T;
}

export const PathParameterSchema = <T extends z.ZodTypeAny>(pathParamSchema: T) => {
  return z.object({
    pathParameter: pathParamSchema,
  }) satisfies z.ZodSchema<PathParameter<z.input<T>>, z.ZodTypeDef, PathParameter<z.output<T>>>;
};
```
### Output (Error)
```error
test.ts:10:6 - error TS1360: Type 'ZodObject<{ pathParameter: T; }, ""strip"", ZodTypeAny, { [k in keyof addQuestionMarks<baseObjectOutputType<{ pathParameter: T; }>, any>]: addQuestionMarks<...>[k]; }, { [k_1 in keyof baseObjectInputType<...>]: baseObjectInputType<...>[k_1]; }>' does not satisfy the expected type 'ZodType<PathParameter<input<T>>, ZodTypeDef, PathParameter<output<T>>>'.
  Types of property '_type' are incompatible.
    Type '{ [k in keyof addQuestionMarks<baseObjectOutputType<{ pathParameter: T; }>, any>]: addQuestionMarks<baseObjectOutputType<{ pathParameter: T; }>, any>[k]; }' is not assignable to type 'PathParameter<input<T>>'.
      Property 'pathParameter' is optional in type '{ [k in keyof addQuestionMarks<baseObjectOutputType<{ pathParameter: T; }>, any>]: addQuestionMarks<baseObjectOutputType<{ pathParameter: T; }>, any>[k]; }' but required in type 'PathParameter<input<T>>'.

10   }) satisfies z.ZodSchema<PathParameter<z.input<T>>, z.ZodTypeDef, PathParameter<z.output<T>>>;
        ~~~~~~~~~
```
### Expected output
I expect there not to be an error, just like with the code below doesn't throw an error
```ts
const testInterfaceSchema = z.object({ str: z.string() });

const testSchema = z.object({ pathParameter: testInterfaceSchema }) satisfies z.ZodSchema<
  PathParameter<z.input<typeof testInterfaceSchema>>,
  z.ZodTypeDef,
  PathParameter<z.output<typeof testInterfaceSchema>>
>;
```",2482449908,"I found my own answer in #153, basically, this is impossible due to the typescript type interference. A solution like
```ts
export const PathParameterSchema = <T extends z.ZodTypeAny>(pathParamSchema: T): z.ZodObject<{ pathParameters: T }> => {
  return z
    .object({
      pathParameters: pathParamSchema,
    });
};
```
is recommended, but this doesn't guarantee that the types are in sync anymore."
2667247063,3854,Zod Custom Type Assertion with .pipe() Does Not Propagate Type Inference Correctly,"I'm experiencing an issue where Zod doesn't automatically propagate the custom type (CustomDate) when using .pipe() with a custom schema. Specifically, when trying to apply a .pipe(zod.custom<CustomDate>()) after defining a schema with .refine(), Zod continues to treat the output as a general string type instead of the expected CustomDate type. This causes type errors when passing the schema to the constructor.

**Steps to Reproduce:**
1. Define a custom schema using .refine() to validate a time string.
2. Use .pipe(zod.custom<CustomDate>()) to assert the type as CustomDate.
3. Try passing the schema to a constructor or other Zod-related validation flow.
4. Observe that Zod infers the type as a string instead of CustomDate, resulting in a type error.

**Code Example:**
```javascript
const zodCustomDateSchema = zod.string().refine((value) => moment(value, customFormat, true).isValid(), {
  message: ""Invalid time format. Must be in format: "" + customFormat + ""."",
  path: [""invalidCustomFormat""],
}).pipe(zod.custom<CustomDate>());
```

**Error:**
```
Type 'ZodObject<{ category: ZodEnum<[""PRODUCT_A"", ""PRODUCT_B"", ""PRODUCT_C""]>; productId: ZodString; userId: ZodString; purchaseDate: ZodPipeline<...>; shippingDate: ZodPipeline<...>; }, ""strip"", ZodTypeAny, { ...; }, { ...; }>' is not assignable to type 'ZodType<{ category: ""PRODUCT_A"" | ""PRODUCT_B"" | ""PRODUCT_C""; productId: string; userId: string; purchaseDate: CustomDate; shippingDate: CustomDate; }, ZodTypeDef, { ...; }>'.
  The types of '_input.purchaseDate' are incompatible between these types.
    Type 'string' is not assignable to type 'CustomDate'.
```

Expected Behavior:
The type should be correctly inferred as CustomDateafter applying .pipe(zod.custom<CustomDate>()), and no type errors should occur when using the schema in other validation or constructor contexts.

Actual Behavior:
Zod does not propagate the custom type assertion correctly, and the type remains string, leading to type errors in downstream code (e.g., passing the schema to the constructor).

It would be great if Zod could propagate custom types properly, ensuring that inferred types are consistent throughout validation and type assertions.
",,
2667059828,3853,"[suggestion] invalid discriminator value errors should include the given value, or signify if the value was omitted","Currently, a discriminated union schema, when given a value with a bad discriminator, does not spit out the given value in the ZodError:
```ts
const SomeSchema = z.discriminatedUnion('type', [
  z.object({ type: z.literal('foo'), foo: z.string() }),
  z.object({ type: z.literal('bar'), bar: z.string() }),
  z.object({ type: z.literal('baz'), baz: z.string() }),
]);

SomeSchema.parse({ type: 'qux' });
```

```
[
  {
    ""code"": ""invalid_union_discriminator"",
    ""options"": [
      ""foo"",
      ""bar"",
      ""baz""
    ],
    ""path"": [
      ""type""
    ],
    ""message"": ""Invalid discriminator value. Expected 'foo' | 'bar' | 'baz'""
  }
]
```

It would be nice if this error included the invalid value.
",,
2663739970,3852,Can't verify that a number is in a list,"Using enum (or any other validator provided by zod), it is not possible to verify that a number belongs in a list.

With an enum, I can verify whether the string ""1"" belongs to, say:

[""2"", ""7"", ""1""]

However, if the data to be parsed is 1, instead of ""1"", zod does not provide the necessary resources to verify whether the number 1, when converted to string, belongs or not to that list of strings.

This is a very basic requirement, but the documentation does not mention how to accomplish this. Ideally, it should be possible to coerce the fields to a string and then compare to the enum.

The only way I could do this was using a ""refine"" after coerce.string(). Then the ""enum"" logic is completely custom (comparison to an array in a regular javascript function). Is this how it was designed?",,
2655668017,3849,z.discriminatedUnion requires literal array,"not sure why by discriminateUnion cannot use an array defined elsewhere.  Is this by design or fixable?
thanks

```typescript
const state1 = z.object({
    state: z.literal(""on""),
    text: z.string()
})
const state2 = z.object({
    state: z.literal(""off""),
    number: z.number()
})
const states = [state1,state2]

const dUnion1 = z.discriminatedUnion('state', states) // errors ; see image
const dUnion2 = z.discriminatedUnion('state', [state1,state2]) //works
```

![image](https://github.com/user-attachments/assets/6c031cc0-27c3-4ced-bfd8-cfe4379bdbdd)
",2478604552,"Hi @JaeTLDR, that’s a good question! This behavior actually makes sense because `z.discriminatedUnion` expects a tuple rather than a general array. When you define `const states = [state1, state2]`, TypeScript infers it as an array, which is incompatible with the tuple type requirement.

To fix this, you can adjust states to be explicitly typed as a tuple:

```typescript
const states: [typeof state1, typeof state2] = [state1, state2];
```
This way, TypeScript treats states as a tuple, making it compatible with `z.discriminatedUnion`. Hope this helps!"
2655668017,3849,z.discriminatedUnion requires literal array,"not sure why by discriminateUnion cannot use an array defined elsewhere.  Is this by design or fixable?
thanks

```typescript
const state1 = z.object({
    state: z.literal(""on""),
    text: z.string()
})
const state2 = z.object({
    state: z.literal(""off""),
    number: z.number()
})
const states = [state1,state2]

const dUnion1 = z.discriminatedUnion('state', states) // errors ; see image
const dUnion2 = z.discriminatedUnion('state', [state1,state2]) //works
```

![image](https://github.com/user-attachments/assets/6c031cc0-27c3-4ced-bfd8-cfe4379bdbdd)
",2481917752,"It's easier to type it as `const states = [state1,state2] as const` - `as const` will automatically infer the tightest type."
2655668017,3849,z.discriminatedUnion requires literal array,"not sure why by discriminateUnion cannot use an array defined elsewhere.  Is this by design or fixable?
thanks

```typescript
const state1 = z.object({
    state: z.literal(""on""),
    text: z.string()
})
const state2 = z.object({
    state: z.literal(""off""),
    number: z.number()
})
const states = [state1,state2]

const dUnion1 = z.discriminatedUnion('state', states) // errors ; see image
const dUnion2 = z.discriminatedUnion('state', [state1,state2]) //works
```

![image](https://github.com/user-attachments/assets/6c031cc0-27c3-4ced-bfd8-cfe4379bdbdd)
",2488618917,"Thanks @AlexChadwickP  that makes a lot more sense, would there be an advantage to Zod using a tuple rather than an array ? I wanted a way to 'register' various schemas (this would include other functionality as well) and use a discriminated union array as part of that, however adding a dynamic tuple has been its own rabbit hole that doesnt feel pheasable.

thanks @mitchell-merry  i did see that in my experiments and research after Alex's answer, it does seem cleaner and for now i am using it to keep my schemas together in a more relevant file than where the union lives"
