issue_id,issue_number,issue_title,issue_body,comment_id,comment_body
2692639069,6520,[FEAT] React Router v7 Support,"### Is your feature request related to a problem? Please describe.

Now that the v7 of react-router is stable and the default, adding support for it is needed, as upgrading to this version of react-router has broken my code - due to various breaking changes introduced in the v7. 

### Describe alternatives you've considered

_No response_

### Additional context

_No response_

### Describe the thing to improve

See above. ",,
2691138622,6519,[BUG] wrong return type of `useOne`,"### Describe the bug

The type of `data` in the following code is `GetOneResponse<BaseRecord>`, but actually it should not be

```
import { useOne } from ""@refinedev/core"";
const { data } = useOne();`
```

Now the typings say that `data` has another entry with key `data` inside. This is not true.

### Steps To Reproduce

1. Use `useOne`
2. The typing is wrong: `ReturnType<typeof useOne<T>>['data']` is `T` in reality and not `GetOneResponse<T>` as indicated by the typing

### Expected behavior

`ReturnType<typeof useOne<T>>['data']` should be `T`

### Packages

- @refinedev/core

### Additional Context

[See also another issue, possibly related](https://github.com/refinedev/refine/issues/6517)",,
2689368860,6517,[BUG] wrong return type of `useInfiniteList`,"### Describe the bug

The type of `data` in the following code is `GetListResponse<BaseRecord>`, but actually it should not be
```
import { useInfiniteList } from ""@refinedev/core"";
const { data } = useInfiniteList();`
```


### Steps To Reproduce

1. use `useInfiniteList`
2. the typing is wrong

### Expected behavior

The return data of `useInfiniteList` should contains `pageParams` and `pages`, not `data` and `total`

### Packages

- @refinedev/core

### Additional Context

_No response_",,
2686756417,6516,[FEAT] Introduce Variants for ThemedSidebar,"### Is your feature request related to a problem? Please describe.

It would be great to have a variants prop for the sidebar, providing out-of-the-box styles inspired by popular platforms like Gmail, Outlook, or other well-known websites.

This feature would make a nice addition!

### Describe alternatives you've considered

_No response_

### Additional context

_No response_

### Describe the thing to improve

See above.",2496200094,"Hi, I would like to work on this if possible! Thank you"
2678925836,6513,[BUG] Create Button `@refinedev/mui`  onClick still works when `disabled` prop is applied,"### Describe the bug

- I added disabled to `CreateButton` while already specufying onClick and and although it greys out, the onClick still opens my modal.

```tsx
  const createModalFormProps = useModalForm<
    ITranslationCreate,
    HttpError,
    Nullable<ITranslationCreate>
  >({
    refineCoreProps: { action: ""create"" },
    syncWithLocation: true,
    defaultValues: defaultTranslationCreateValues
  });

  const {
    modal: { show: showCreateModal }
  } = createModalFormProps;

<CreateButton disabled onClick={() => showCreateModal()}>
  New Translation
</CreateButton>
```

- I believe the issue is the way the disabled and onClick conditionals work in the component, the early return doesn't seem to work.

```tsx

// refine mui CreateButton
  return (
    <LinkComponent
      to={to}
      replace={false}
      onClick={(e: React.MouseEvent<HTMLButtonElement, MouseEvent>) => {
        if (disabled) { // NOT WORKING
          e.preventDefault();
          return; 
        }
        if (onClick) {
          e.preventDefault();
          onClick(e);
        }
      }}
      style={{ textDecoration: ""none"" }}
    >
      <Button
        disabled={disabled}
        startIcon={!hideText && <AddBoxOutlined {...svgIconProps} />}
        title={title}
        variant=""contained""
        sx={{ minWidth: 0, ...sx }}
        data-testid={RefineButtonTestIds.CreateButton}
        className={RefineButtonClassNames.CreateButton}
        {...restProps}
      >
        {hideText ? (
          <AddBoxOutlined fontSize=""small"" {...svgIconProps} />
        ) : (
          children ?? label
        )}
      </Button>
    </LinkComponent>
  );
```

- The issue persists  on the EditButton as well.

### Steps To Reproduce

- Import the CreateButton component from refine/mui
- add the disabled prop
- add the onClick prop: 
- the onClick function will still work

### Expected behavior

the button is disabled with its onClick not functional as well.

### Packages

- ""@refinedev/mui"": ""^5.14.4"",


### Additional Context

_No response_",2490990402,"Hello @arndom, thank you for reporting this issue!

The bug happens because the component doesn’t properly use the provided props on the following lines: https://github.com/refinedev/refine/blob/716123cad4c2ef8d2ab1907f8abe1fea48fcdd00/packages/mui/src/components/buttons/create/index.tsx#L48
https://github.com/refinedev/refine/blob/716123cad4c2ef8d2ab1907f8abe1fea48fcdd00/packages/mui/src/components/buttons/create/index.tsx#L60

Instead of relying on `useCreateButton().disabled`, `<Button />` and `<LinkComponent />` should use the following code:

```typescript
const isDisabled = disabled || rest.disabled;
```

This issue likely exists in the other UI packages as well (@refinedev/antd, @refinedev/mantine, @refinedev/chakra-ui), and they should be updated accordingly as part of this fix.

Do you want to work on this?"
2678925836,6513,[BUG] Create Button `@refinedev/mui`  onClick still works when `disabled` prop is applied,"### Describe the bug

- I added disabled to `CreateButton` while already specufying onClick and and although it greys out, the onClick still opens my modal.

```tsx
  const createModalFormProps = useModalForm<
    ITranslationCreate,
    HttpError,
    Nullable<ITranslationCreate>
  >({
    refineCoreProps: { action: ""create"" },
    syncWithLocation: true,
    defaultValues: defaultTranslationCreateValues
  });

  const {
    modal: { show: showCreateModal }
  } = createModalFormProps;

<CreateButton disabled onClick={() => showCreateModal()}>
  New Translation
</CreateButton>
```

- I believe the issue is the way the disabled and onClick conditionals work in the component, the early return doesn't seem to work.

```tsx

// refine mui CreateButton
  return (
    <LinkComponent
      to={to}
      replace={false}
      onClick={(e: React.MouseEvent<HTMLButtonElement, MouseEvent>) => {
        if (disabled) { // NOT WORKING
          e.preventDefault();
          return; 
        }
        if (onClick) {
          e.preventDefault();
          onClick(e);
        }
      }}
      style={{ textDecoration: ""none"" }}
    >
      <Button
        disabled={disabled}
        startIcon={!hideText && <AddBoxOutlined {...svgIconProps} />}
        title={title}
        variant=""contained""
        sx={{ minWidth: 0, ...sx }}
        data-testid={RefineButtonTestIds.CreateButton}
        className={RefineButtonClassNames.CreateButton}
        {...restProps}
      >
        {hideText ? (
          <AddBoxOutlined fontSize=""small"" {...svgIconProps} />
        ) : (
          children ?? label
        )}
      </Button>
    </LinkComponent>
  );
```

- The issue persists  on the EditButton as well.

### Steps To Reproduce

- Import the CreateButton component from refine/mui
- add the disabled prop
- add the onClick prop: 
- the onClick function will still work

### Expected behavior

the button is disabled with its onClick not functional as well.

### Packages

- ""@refinedev/mui"": ""^5.14.4"",


### Additional Context

_No response_",2491690571,"hey @alicanerdurmaz i am up for this .
"
2678925836,6513,[BUG] Create Button `@refinedev/mui`  onClick still works when `disabled` prop is applied,"### Describe the bug

- I added disabled to `CreateButton` while already specufying onClick and and although it greys out, the onClick still opens my modal.

```tsx
  const createModalFormProps = useModalForm<
    ITranslationCreate,
    HttpError,
    Nullable<ITranslationCreate>
  >({
    refineCoreProps: { action: ""create"" },
    syncWithLocation: true,
    defaultValues: defaultTranslationCreateValues
  });

  const {
    modal: { show: showCreateModal }
  } = createModalFormProps;

<CreateButton disabled onClick={() => showCreateModal()}>
  New Translation
</CreateButton>
```

- I believe the issue is the way the disabled and onClick conditionals work in the component, the early return doesn't seem to work.

```tsx

// refine mui CreateButton
  return (
    <LinkComponent
      to={to}
      replace={false}
      onClick={(e: React.MouseEvent<HTMLButtonElement, MouseEvent>) => {
        if (disabled) { // NOT WORKING
          e.preventDefault();
          return; 
        }
        if (onClick) {
          e.preventDefault();
          onClick(e);
        }
      }}
      style={{ textDecoration: ""none"" }}
    >
      <Button
        disabled={disabled}
        startIcon={!hideText && <AddBoxOutlined {...svgIconProps} />}
        title={title}
        variant=""contained""
        sx={{ minWidth: 0, ...sx }}
        data-testid={RefineButtonTestIds.CreateButton}
        className={RefineButtonClassNames.CreateButton}
        {...restProps}
      >
        {hideText ? (
          <AddBoxOutlined fontSize=""small"" {...svgIconProps} />
        ) : (
          children ?? label
        )}
      </Button>
    </LinkComponent>
  );
```

- The issue persists  on the EditButton as well.

### Steps To Reproduce

- Import the CreateButton component from refine/mui
- add the disabled prop
- add the onClick prop: 
- the onClick function will still work

### Expected behavior

the button is disabled with its onClick not functional as well.

### Packages

- ""@refinedev/mui"": ""^5.14.4"",


### Additional Context

_No response_",2491720755,"Hi @OmkarBansod02, I assigned it to you. Thanks!"
2672957125,6508,[FEAT] ThemedSiderV2 Persist Collapsed State,"### Is your feature request related to a problem? Please describe.

Would be nice to persist out of the box the collapsed state, or add an option to do so, maybe a ""peristCollapsed"" boolean. This would avoid having to write extra code for this important UX feature.

### Describe alternatives you've considered

_No response_

### Additional context

_No response_

### Describe the thing to improve

See above.",2488314281,"@aress31 thanks for the issue. We've discussed this one and decided to accept `onSiderCollapsed` function to [ThemedLayoutV2](https://github.com/refinedev/refine/blob/master/packages/antd/src/components/themedLayoutV2/index.tsx) component.

Then `onSiderCollapsed` will be passed to [ThemedLayoutContextProvider](https://github.com/refinedev/refine/blob/master/packages/antd/src/contexts/themedLayoutContext/index.tsx)

Here, we should replace existing `setSiderCollapsed` with a wrapper, where we call setSiderCollapsed state action and also `onSiderCollapsed` coming from user.

Here is a pseudo implementation:
![Screenshot 2024-11-20 at 14 16 42](https://github.com/user-attachments/assets/0d7d1d4a-649d-4a17-9656-5ee97e70651c)

This will allow users to persist their collapsed state into localstorage in `onSiderCollapsed` method. And then users can read this from localStorage and pass initial value `initialSiderCollapsed` from here.

We need to do these changes in ThemedLayoutV2 component for
- Ant Design
- Material UI
- Mantine
- Chakra UI

They all have almost exact same code, so it should be straightforward to implement.

We are open to contributions for this one.
"
2672957125,6508,[FEAT] ThemedSiderV2 Persist Collapsed State,"### Is your feature request related to a problem? Please describe.

Would be nice to persist out of the box the collapsed state, or add an option to do so, maybe a ""peristCollapsed"" boolean. This would avoid having to write extra code for this important UX feature.

### Describe alternatives you've considered

_No response_

### Additional context

_No response_

### Describe the thing to improve

See above.",2490125568,"Hey @BatuhanW, can I work on this?"
2672957125,6508,[FEAT] ThemedSiderV2 Persist Collapsed State,"### Is your feature request related to a problem? Please describe.

Would be nice to persist out of the box the collapsed state, or add an option to do so, maybe a ""peristCollapsed"" boolean. This would avoid having to write extra code for this important UX feature.

### Describe alternatives you've considered

_No response_

### Additional context

_No response_

### Describe the thing to improve

See above.",2490314675,"Hey @BatuhanW, I am up for this. "
